game_id,points,offense,defense,offense_mean_rank,offense_median_rank,offense_trimmed_rank,defense_mean_rank,defense_median_rank,defense_trimmed_rank,mean_rank_diff,median_rank_diff,trimmed_rank_diff,rf_pred
666,48,FL Atlantic,Louisiana Tech,37.09,34,36.72,88.91,91,88.99,-51.81999999999999,-57,-52.269999999999996,33.56484829911125
667,54,Minnesota,Nebraska,71.37,69,71.23,77.64,76,77.47,-6.269999999999996,-7,-6.239999999999995,31.05264776221387
668,31,Alabama,Mississippi St,5.06,5,5.04,26.12,27,26.12,-21.060000000000002,-22,-21.080000000000002,34.9075763353181
669,50,Missouri,Tennessee,48.54,51,48.45,89.17,90,89.2,-40.63,-39,-40.75,40.61918496464458
670,45,North Texas,UTEP,65.82,64,65.71,129.25,130,129.59,-63.43000000000001,-66,-63.88000000000001,43.84202434336964
671,23,Northwestern,Purdue,20.83,20,20.68,44.51,43,44.28,-23.68,-23,-23.6,30.787592264991154
672,38,Oklahoma,TCU,4.97,4,4.94,15,15,14.98,-10.030000000000001,-11,-10.04,34.23723602484472
673,50,Mississippi,ULL,62.27,63,62.11,115.28,117,115.54,-53.01,-54,-53.43000000000001,38.68162951575711
674,43,Southern Miss,Rice,78.7,81,78.92,125.18,126,125.54,-46.480000000000004,-45,-46.620000000000005,42.034856602584306
675,24,South Alabama,Arkansas St,114.65,116,114.86,77.83,80,78.05,36.82000000000001,36,36.81,21.675732019330997
676,42,Texas,Kansas,44.1,43,43.94,120.93,121,121.19,-76.83000000000001,-78,-77.25,45.830758230484655
677,55,Texas A&M,New Mexico,45.46,45,45.32,113.56,114,113.77,-68.1,-69,-68.44999999999999,44.06301994668037
678,33,Georgia St,Texas St,105.35,106,105.64,126.47,127,126.77,-21.120000000000005,-21,-21.129999999999995,33.21395203009876
679,38,Texas Tech,Baylor,53.54,53,53.32,104.83,111,105.15,-51.29,-58,-51.830000000000005,34.79391881463189
680,24,UAB,UT San Antonio,89.48,91,89.66,92.49,95,92.72,-3.009999999999991,-4,-3.0600000000000023,20.6970120973619
681,44,Kentucky,Vanderbilt,57.89,58,57.59,80.34,81,80.48,-22.450000000000003,-23,-22.89,32.26711967482702
682,38,Wisconsin,Iowa,5.56,5,5.46,25.89,24,25.45,-20.330000000000002,-19,-19.99,34.652661391573474
683,28,Wyoming,Air Force,77.85,79,78.03,91.62,92,91.63,-13.77000000000001,-13,-13.599999999999994,27.11261662803827
684,49,Arizona,Oregon St,50.7,50,50.5,115.88,117,116.31,-65.17999999999999,-67,-65.81,43.73994257508791
685,38,USC,Colorado,12.62,12,12.54,77.62,78,77.67,-65,-66,-65.13,40.42727943890735
686,33,Washington St,Utah,24.7,23,24.64,49.68,52,49.5,-24.98,-29,-24.86,33.53492058653172
687,59,Nevada,San Jose St,104.18,104,104.38,125.87,126,126.27,-21.689999999999998,-22,-21.89,35.97953216374269
688,44,UCLA,Arizona St,50.2,50,50.05,41.44,40,41.02,8.760000000000005,10,9.029999999999994,28.27189534639503
689,31,Fresno St,Hawaii,46.19,43,46.03,119.54,120,119.8,-73.35000000000001,-77,-73.77,41.42352452202826
690,59,Boise St,Colorado St,29.91,29.5,29.91,77.44,76,77.48,-47.53,-46.5,-47.57000000000001,41.03462122170229
691,37,Akron,Ohio,83.39,82,83.29,62.63,63,62.51,20.759999999999998,19,20.78000000000001,27.73520025031289
692,66,Toledo,Bowling Green,32.47,31,32.14,114.81,116,115.04,-82.34,-85,-82.9,43.47945788258174
693,42,C Michigan,Kent,67.65,67,67.57,121.62,122,121.88,-53.97,-55,-54.31,35.81516015116783
694,27,E Michigan,Miami OH,89.25,90,89.49,97.8,98,98.05,-8.549999999999997,-8,-8.560000000000002,27.54689356236956
695,35,N Illinois,W Michigan,57.87,58,57.68,78.47,79,78.33,-20.6,-21,-20.65,32.67456915929866
696,40,Buffalo,Ball St,85.25,86,85.32,125.54,126,125.8,-40.290000000000006,-40,-40.480000000000004,40.35863992084195
697,27,South Florida,Tulsa,35.43,34,35.21,104.96,107,105.16,-69.53,-73,-69.94999999999999,41.23829192735224
698,38,UNLV,New Mexico,102.19,102,102.21,113.56,114,113.77,-11.370000000000005,-12,-11.560000000000002,31.231395204373214
699,41,WKU,MTSU,101.64,102,101.86,92.5,94,92.62,9.14,8,9.239999999999995,26.88202566480213
705,39,Boston College,Connecticut,30.96,29,30.52,108.29,109,108.49,-77.33000000000001,-80,-77.97,43.26409387853859
706,43,Duke,Georgia Tech,53.03,51,52.77,48.67,48,48.54,4.359999999999999,3,4.230000000000004,28.388218705937646
707,48,East Carolina,Cincinnati,107.55,108,107.72,101.84,103,101.92,5.709999999999994,5,5.799999999999997,29.725240109941016
